[2021-05-21T23:09:38-0700] [ALPM] installed mingw-w64-x86_64-expat (2.2.10-1)
[2021-05-21T23:09:38-0700] [ALPM] installed mingw-w64-x86_64-libiconv (1.16-2)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-gettext (0.19.8.1-10)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-bzip2 (1.0.8-2)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-wineditline (2.205-3)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-zlib (1.2.11-9)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-pcre (8.44-3)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-libffi (3.3-4)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-mpdecimal (2.5.0-2)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-libtre-git (r128.6fb7206-2)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-libsystre (1.0.1-4)
[2021-05-21T23:09:46-0700] [ALPM] installed mingw-w64-x86_64-ncurses (6.2-3)
[2021-05-21T23:09:46-0700] [ALPM] installed mingw-w64-x86_64-libtasn1 (4.16.0-2)
[2021-05-21T23:09:46-0700] [ALPM] installed mingw-w64-x86_64-p11-kit (0.23.22-1)
[2021-05-21T23:09:46-0700] [ALPM] installed mingw-w64-x86_64-ca-certificates (20200601-3)
[2021-05-21T23:09:53-0700] [ALPM] installed mingw-w64-x86_64-openssl (1.1.1.k-2)
[2021-05-21T23:09:53-0700] [ALPM] installed mingw-w64-x86_64-termcap (1.3.1-6)
[2021-05-21T23:09:53-0700] [ALPM] installed mingw-w64-x86_64-readline (8.0.004-2)
[2021-05-21T23:09:55-0700] [ALPM] installed mingw-w64-x86_64-tcl (8.6.11-3)
[2021-05-21T23:09:55-0700] [ALPM] installed mingw-w64-x86_64-sqlite3 (3.35.4-2)
[2021-05-21T23:09:56-0700] [ALPM] installed mingw-w64-x86_64-tk (8.6.11.1-2)
[2021-05-21T23:09:56-0700] [ALPM] installed mingw-w64-x86_64-xz (5.2.5-2)
[2021-05-21T23:10:04-0700] [ALPM] installed mingw-w64-x86_64-python (3.8.9-2)
[2021-05-21T23:10:04-0700] [ALPM] installed mingw-w64-x86_64-glib2 (2.68.1-1)
[2021-05-21T23:10:04-0700] [ALPM] installed mingw-w64-x86_64-libjpeg-turbo (2.0.6-1)
[2021-05-21T23:10:04-0700] [ALPM] installed mingw-w64-x86_64-libpng (1.6.37-3)
[2021-05-21T23:10:04-0700] [ALPM] installed mingw-w64-x86_64-libdeflate (1.7-1)
[2021-05-21T23:10:04-0700] [ALPM] installed mingw-w64-x86_64-giflib (5.2.1-2)
[2021-05-21T23:10:04-0700] [ALPM] installed mingw-w64-x86_64-libwebp (1.2.0-1)
[2021-05-21T23:10:04-0700] [ALPM] installed mingw-w64-x86_64-zstd (1.4.9-1)
[2021-05-21T23:10:05-0700] [ALPM] installed mingw-w64-x86_64-libtiff (4.2.0-1)
[2021-05-21T23:10:05-0700] [ALPM] installed mingw-w64-x86_64-gdk-pixbuf2 (2.42.4-1)
[2021-05-21T23:10:05-0700] [ALPM] installed mingw-w64-x86_64-brotli (1.0.9-2)
[2021-05-21T23:10:05-0700] [ALPM] installed mingw-w64-x86_64-graphite2 (1.3.14-2)
[2021-05-21T23:10:05-0700] [ALPM] installed mingw-w64-x86_64-harfbuzz (2.8.0-1)
[2021-05-21T23:10:05-0700] [ALPM] installed mingw-w64-x86_64-freetype (2.10.4-1)
[2021-05-21T23:10:05-0700] [ALPM] installed mingw-w64-x86_64-fontconfig (2.13.93-2)
[2021-05-21T23:10:05-0700] [ALPM-SCRIPTLET] 
[2021-05-21T23:10:05-0700] [ALPM-SCRIPTLET]   Fontconfig configuration is done via /mingw64/etc/fonts/conf.avail and conf.d.
[2021-05-21T23:10:05-0700] [ALPM-SCRIPTLET]   Read /mingw64/etc/fonts/conf.d/README for more information.
[2021-05-21T23:10:05-0700] [ALPM-SCRIPTLET] 
[2021-05-21T23:10:10-0700] [ALPM-SCRIPTLET] updating font cache... done.
[2021-05-21T23:10:10-0700] [ALPM] installed mingw-w64-x86_64-lzo2 (2.10-1)
[2021-05-21T23:10:10-0700] [ALPM] installed mingw-w64-x86_64-pixman (0.40.0-2)
[2021-05-21T23:10:10-0700] [ALPM] installed mingw-w64-x86_64-cairo (1.17.4-2)
[2021-05-21T23:10:10-0700] [ALPM] installed mingw-w64-x86_64-fribidi (1.0.10-2)
[2021-05-21T23:10:10-0700] [ALPM] installed mingw-w64-x86_64-libdatrie (0.2.12-1)
[2021-05-21T23:10:11-0700] [ALPM] installed mingw-w64-x86_64-libthai (0.1.28-3)
